Title,Author,Download_Timestamp,MonthRead,Format,Completed,ISBN,Identifiers,Languages,Publication_Date,Publisher,Series,Series_Index,Size,Tags,UUID,Comments,USD Sale Price,Pages,Categories,Width,Thickness,Height,Weight,MonthName
The Little Prince,Antoine de Saint-Exupery,2023-09-22 16:22:03-08:00,1,"epub, mobi",1,9780156012195,"barnesnoble:1100090265,isbn:9780156012195",eng,2000-06-28T23:00:00-08:00,HarperCollins Publishers,Little Prince Series,1.0,582591.0,,a8019189-b57a-4ab5-b839-b1fe3d30204f,The story of an airman's discovery in the desert of a small boy from another planet.ther planet._,10.99,96,"YA, Fiction, Classics",8.0,5.0,0.31,0.45,January
Atalanta,Jennifer Saint,2024-02-22 07:00:05-08:00,1,"epub, mobi",1,9781250855572,"isbn:9781250855572,google:GdF5zwEACAAJ,amazon:1250855578",eng,2023-05-08T23:00:00-08:00,Flatiron Books,,1.0,2958784.0,"Fiction, Fairy Tales; Folk Tales; Legends & Mythology",23def465-9985-484f-b7b7-62c15753440b,,10.99,305,"Greek Mythology, Fiction",6.5,1.0,9.55,2.31,January
Ariadne: A Novel,Jennifer Saint,2023-12-28 18:38:12-08:00,1,mobi,1,9781250773579,"google:B132DwAAQBAJ,mobi-asin:ad59cfb1-61f2-41b5-ac12-63bf9fc1c2f0,isbn:9781250773579,barnesnoble:1137455982",eng,2021-05-03T23:00:00-08:00,Flatiron Books,,1.0,1287874.0,"Fiction, Literary, Fairy Tales; Folk Tales; Legends & Mythology, Women",4d437a82-3ddc-40e3-81bd-e590af0fa911,"A mesmerizing debut novel for fans of Madeline Miller's Circe. Ariadne, Princess of Crete, grows up greeting the dawn from her beautiful dancing floor and listening to her nursemaid’s stories of gods and heroes. But beneath her golden palace echo the ever-present hoofbeats of her brother, the Minotaur, a monster who demands blood sacrifice. When Theseus, Prince of Athens, arrives to vanquish the beast, Ariadne sees in his green eyes not a threat but an escape. Defying the gods, betraying her family and country, and risking everything for love, Ariadne helps Theseus kill the Minotaur. But will Ariadne’s decision ensure her happy ending? And what of Phaedra, the beloved younger sister she leaves behind? Hypnotic, propulsive, and utterly transporting, Jennifer Saint's Ariadne forges a new epic, one that puts the forgotten women of Greek mythology back at the heart of the story, as they strive for a better world.",11.99,320,"Greek Mythology, Fiction",5.35,0.85,8.2,2.31,January
Building Java Programs: A Back to Basics Approach / Edition 5,Stuart Reges & Marty Stepp,2024-03-01 0:00:00,1,"epub, mobi",0,9780135471944,"barnesnoble:1131204000,isbn:9780135471944",eng,2019-03-17T23:00:00-08:00,Pearson Education,,1.0,13404423.0,,ed45a859-198c-44bc-8fd1-26056097c624,"Building Java Programs: A Back to Basics Approach, Third Edition, introduces novice programmers to basic constructs and common pitfalls by emphasizing the essentials of procedural programming, problem solving, and algorithmic reasoning. By using objects early to solve interesting problems and defining objects later in the course, Building Java Programs develops programming knowledge for a broad audience. Break through to improved results with MyProgrammingLab® MyProgrammingLab is an online homework, tutorial, and assessment program that truly engages students in learning. It helps students better prepare for class, quizzes, and exams-resulting in better performance in the course-and provides educators a dynamic set of tools for gauging individual and class progress. And, MyProgrammingLab comes from Pearson, your partner in providing the best digital learning experiences. MyProgrammingLab for Building Java Programs is a total learning package. Through the power of practice and immediate personalized feedback, MyProgrammingLab helps students fully grasp the logic, semantics, and syntax of programming. Instructors using MyProgrammingLab can manage all assessment needs in one program, and easily assign auto-graded homework. Students have the flexibility to practice and self-assess while receiving feedback and tutorial aids. 013345102X / 9780133451023 Student Value Edition - Building Java Programs, 3/e + MyProgrammingLab with Pearson eText Package consists of: 0133375277 / 9780133375275 Building Java Programs, Student Value Edition 0133379787 / 9780133379785 MyProgrammingLab with Pearson eText -- Access Card -- for Building Java Programs Note: MyProgrammingLab is not a self-paced technology and should only be purchased when required by an instructor.",205.89,1232,"Technology, Textbook",7.45,1.6,9.1,3.5,January
The Last Olympian,Rick Riordan,2023-09-22 15:50:23-08:00,1,"epub, mobi",1,9781423101505,"isbn:9781423101505,amazon:1423101502,google:V30anwEACAAJ,barnesnoble:1100260665",eng,2009-05-04T23:00:00-08:00,Disney Hyperion,Percy Jackson and the Olympians,5.0,434880.0,"Juvenile Fiction, General, Action & Adventure, Fantasy & Magic",ec902dda-22f1-440c-8cc7-9bbfbd4992ea,"All year the half-bloods have been preparing for battle against the Titans, knowing the odds of victory are grim. Kronos's army is stronger than ever, and with every god and half-blood he recruits, the evil Titan's power only grows. While the Olympians struggle to contain the rampaging monster Typhon, Kronos begins his advance on New York City, where Mount Olympus stands virtually unguarded. Now it's up to Percy Jackson and an army of young demigods to stop the Lord of Time.",6.99,432,"YA, Fiction, Greek Mythology",5.5,1.05,8.4,0.6,January
The Lightning Thief,Rick Riordan,2023-09-22 15:50:23-08:00,1,"epub, mobi",1,9781368051477,"amazon:0786838655,google:PiNUyQEACAAJ,isbn:9781368051477,barnesnoble:1100190320",eng,2006-04-01T23:00:00-08:00,Disney Hyperion,Percy Jackson and the Olympians,1.0,668922.0,"Juvenile Fiction, Media Tie-In, Action & Adventure, General, Legends; Myths; Fables, Greek & Roman, Fiction - Young Adult",d8ffe632-6b10-40d9-bd7e-db34c02800d3,,6.99,416,"YA, Fiction, Greek Mythology",5.5,1.05,8.4,2.31,January
The Sea of Monsters,Rick Riordan,2023-09-22 15:50:23-08:00,1,"epub, mobi",1,9781423103349,"isbn:9781423103349,google:Y39JAQAAIAAJ,barnesnoble:1100327442",eng,2007-03-19T23:00:00-08:00,Disney-Hyperion,Percy Jackson and the Olympians,2.0,600595.0,"Cooking, Courses & Dishes, Confectionery, Juvenile Fiction, Legends; Myths; Fables, General, Social Themes",cbde73fe-531a-4abb-b950-ee6f7f53398e,,6.99,321,"YA, Fiction, Greek Mythology",5.5,1.05,8.4,2.31,January
The Titan's Curse,Rick Riordan,2023-09-22 15:50:23-08:00,1,"epub, mobi",1,9781423101482,"amazon:1423101480,isbn:9781423101482,barnesnoble:1008543852",eng,2008-04-07T23:00:00-08:00,Disney Hyperion,Percy Jackson and the Olympians,3.0,423705.0,,9925e7ba-f717-4a0c-bfa2-f190f7b64169,"When the goddess Artemis goes missing, she is believed to have been kidnapped. And now it's up to Percy and his friends to find out what happened. Who is powerful enough to kidnap a goddess?",6.99,352,"YA, Fiction, Greek Mythology",5.5,1.05,8.4,2.31,January
The Sun and the Star,Rick Riordan,2023-12-28 18:38:11-08:00,1,"epub, mobi",1,9786073836418,"barnesnoble:1143859584,goodreads:195365099,mobi-asin:B0BCY43MD4,isbn:9786073836418",eng,2024-01-23T00:00:00-08:00,PRH Grupo Editorial,Percy Jackson and the Olympians Series,1.0,1328173.0,,836f4ed5-b2a1-49de-83fa-49650f260f8c,,7.99,480,"YA, Fiction, Greek Mythology",5.95,1.29,8.47,,January
The Chalice of the Gods,Rick Riordan,2024-01-01 0:00:00,1,"epub, mobi",1,9781368098175,"barnesnoble:1142532993,google:Old5zwEACAAJ,goodreads:63035432,mobi-asin:B0BJQR12XF,isbn:9781368098175,amazon:1368098177",eng,2023-09-14T21:00:00-08:00,Disney Hyperion,Percy Jackson and the Olympians,6.0,2507018.0,"Fantasy, young adult, Adventure, Childrens",90601d0b-1344-415f-9f99-1f895e9a035a,"After saving the world multiple times, Percy Jackson is hoping to have a normal senior year. Unfortunately, the gods aren't quite done with him. Percy will have to fulfill three quests in order to get the necessary three letters of recommendation from Mount Olympus for college. The first quest is to help Zeus's cup-bearer retrieve his goblet before it falls into the wrong hands. Can Percy, Grover, and Annabeth find it in time? Readers new to Percy Jackson and fans who have been awaiting this reunion for more than a decade will delight equally in this latest hilarious take on Greek mythology.",10.99,288,"YA, Fiction, Greek Mythology",5.82,1.03,8.55,2.31,January
